t,V,theta,r,phi,alpha,m
1.1515947543,1.0684244815,0.0202775681,0.9980761213,1.1986115964,-0.8865116799,0.9994242026
1.1607533768,1.0686978868,0.0209473762,0.9982778278,1.2084139466,-0.8884654297,0.9994196233
1.1699119992,1.0689640824,0.0216226177,0.9984861671,1.2182166203,-0.8904186072,0.9994150440
1.1790706216,1.0692230252,0.0223032105,0.9987011940,1.2280194799,-0.8923712020,0.9994104647
1.1882292441,1.0694746732,0.0229890717,0.9989229619,1.2378223871,-0.8943232039,0.9994058854
1.1975822069,1.0697240897,0.0236948373,0.9991564477,1.2478332104,-0.8963160034,0.9994012089
1.2069351697,1.0699658135,0.0244059217,0.9993970737,1.2578437886,-0.8983081629,0.9993965324
1.2162881326,1.0701998032,0.0251222352,0.9996448943,1.2678539716,-0.9002996714,0.9993918559
1.2256410954,1.0704260189,0.0258436880,0.9998999623,1.2778636083,-0.9022905178,0.9993871795
1.2351827251,1.0706487469,0.0265848961,1.0001676979,1.2880744375,-0.9043208298,0.9993824086
1.2447243548,1.0708633041,0.0273312627,1.0004430847,1.2982843777,-0.9063504298,0.9993776378
1.2542659845,1.0710696519,0.0280826910,1.0007261756,1.3084932657,-0.9083793061,0.9993728670
1.2638076142,1.0712677534,0.0288390840,1.0010170225,1.3187009377,-0.9104074471,0.9993680962
1.2735343012,1.0714611723,0.0296151561,1.0013215458,1.3291051624,-0.9124741544,0.9993632328
1.2832609883,1.0716459484,0.0303961823,1.0016342340,1.3395077771,-0.9145400732,0.9993583695
1.2929876754,1.0718220469,0.0311820586,1.0019551382,1.3499086055,-0.9166051911,0.9993535062
1.3027143624,1.0719894344,0.0319726807,1.0022843083,1.3603074710,-0.9186694958,0.9993486428
1.3126243430,1.0721509846,0.0327829739,1.0026282327,1.3709000943,-0.9207718519,0.9993436878
1.3225343235,1.0723034273,0.0335979736,1.0029808379,1.3814903074,-0.9228733381,0.9993387328
1.3324443041,1.0724467321,0.0344175685,1.0033421725,1.3920779212,-0.9249739412,0.9993337778
1.3423542846,1.0725808702,0.0352416466,1.0037122837,1.4026627462,-0.9270736481,0.9993288229
1.3524474936,1.0727080377,0.0360854541,1.0040983070,1.4134402135,-0.9292112426,0.9993237763
1.3625407025,1.0728256413,0.0369336775,1.0044935287,1.4242143891,-0.9313478803,0.9993187296
1.3726339115,1.0729336558,0.0377861980,1.0048979944,1.4349850710,-0.9334835473,0.9993136830
1.3827271204,1.0730320577,0.0386428966,1.0053117478,1.4457520567,-0.9356182299,0.9993086364
1.3930050990,1.0731223606,0.0395194482,1.0057426634,1.4567121386,-0.9377909648,0.9993034975
1.4032830777,1.0732026523,0.0404000824,1.0061832967,1.4676679630,-0.9399626502,0.9992983585
1.4135610563,1.0732729140,0.0412846729,1.0066336889,1.4786193149,-0.9421332713,0.9992932195
1.4238390349,1.0733331285,0.0421730931,1.0070938796,1.4895659793,-0.9443028138,0.9992880805
1.4343048840,1.0733841035,0.0430815572,1.0075725902,1.5007076976,-0.9465108896,0.9992828476
1.4447707331,1.0734246308,0.0439937273,1.0080615384,1.5118441048,-0.9487178165,0.9992776146
1.4552365822,1.0734546985,0.0449094697,1.0085607607,1.5229749731,-0.9509235790,0.9992723817
1.4657024313,1.0734742965,0.0458286503,1.0090702917,1.5341000751,-0.9531281619,0.9992671488
1.4763608060,1.0734834867,0.0467681352,1.0095998247,1.5454236682,-0.9553720710,0.9992618196
1.4870191806,1.0734818041,0.0477109057,1.0101401158,1.5567408045,-0.9576147244,0.9992564904
1.4976775553,1.0734692449,0.0486568206,1.0106911959,1.5680512438,-0.9598561060,0.9992511612
1.5083359299,1.0734458072,0.0496057386,1.0112530937,1.5793547463,-0.9620961994,0.9992458320
1.5191930740,1.0734107480,0.0505752945,1.0118366205,1.5908616694,-0.9643767274,0.9992404035
1.5300502181,1.0733644039,0.0515476710,1.0124314263,1.6023608930,-0.9666558849,0.9992349749
1.5409073623,1.0733067797,0.0525227191,1.0130375355,1.6138521649,-0.9689336546,0.9992295463
1.5517645064,1.0732378829,0.0535002901,1.0136549700,1.6253352330,-0.9712100193,0.9992241177
1.5628283285,1.0731560878,0.0544989119,1.0142958295,1.6370281947,-0.9735282542,0.9992185858
1.5738921505,1.0730626092,0.0554998427,1.0149484892,1.6487121114,-0.9758449942,0.9992130539
1.5849559726,1.0729574622,0.0565029259,1.0156129657,1.6603867186,-0.9781602212,0.9992075220
1.5960197946,1.0728406641,0.0575080055,1.0162892735,1.6720517531,-0.9804739170,0.9992019901
1.6072999882,1.0727096072,0.0585346350,1.0169910008,1.6839347894,-0.9828312659,0.9991963500
1.6185801818,1.0725664833,0.0595630134,1.0177050495,1.6958073248,-0.9851869849,0.9991907099
1.6298603754,1.0724113183,0.0605929767,1.0184314279,1.7076690836,-0.9875410550,0.9991850698
1.6411405690,1.0722441408,0.0616243613,1.0191701415,1.7195197911,-0.9898934568,0.9991794297
1.6526487864,1.0720612371,0.0626778907,1.0199365029,1.7315983831,-0.9922916722,0.9991736756
1.6641570038,1.0718658984,0.0637325577,1.0207157076,1.7436648996,-0.9946881107,0.9991679215
1.6756652212,1.0716581631,0.0647881907,1.0215077538,1.7557190536,-0.9970827521,0.9991621674
1.6871734386,1.0714380721,0.0658446191,1.0223126374,1.7677605602,-0.9994755758,0.9991564133
1.6989235293,1.0712006526,0.0669238948,1.0231476753,1.7800418050,-1.0019167939,0.9991505382
1.7106736200,1.0709504470,0.0680036422,1.0239960789,1.7923092701,-1.0043560741,0.9991446632
1.7224237107,1.0706875072,0.0690836824,1.0248578355,1.8045626582,-1.0067933947,0.9991387881
1.7341738014,1.0704118874,0.0701638372,1.0257329298,1.8168016740,-1.0092287338,0.9991329131
1.7461821327,1.0701171688,0.0712676654,1.0266410185,1.8292945219,-1.0117155264,0.9991269089
1.7581904641,1.0698093304,0.0723712406,1.0275629967,1.8417717432,-1.0142002037,0.9991209048
1.7701987954,1.0694884388,0.0734743761,1.0284988393,1.8542330308,-1.0166827424,0.9991149006
1.7822071267,1.0691545633,0.0745768865,1.0294485186,1.8666780804,-1.0191631193,0.9991088964
1.7944930157,1.0687996085,0.0757040412,1.0304344367,1.8793936621,-1.0216985655,0.9991027535
1.8067789046,1.0684312181,0.0768301532,1.0314347704,1.8920916113,-1.0242316996,0.9990966105
1.8190647936,1.0680494751,0.0779550284,1.0324494810,1.9047716119,-1.0267624970,0.9990904676
1.8313506826,1.0676544652,0.0790784741,1.0334785265,1.9174333510,-1.0292909325,0.9990843247
1.8439369771,1.0672361318,0.0802277075,1.0345475515,1.9303854260,-1.0318787165,0.9990780315
1.8565232716,1.0668040654,0.0813750366,1.0356315225,1.9433176828,-1.0344639691,0.9990717384
1.8691095662,1.0663583670,0.0825202597,1.0367303850,1.9562297969,-1.0370466635,0.9990654452
1.8816958607,1.0658991401,0.0836631770,1.0378440810,1.9691214484,-1.0396267730,0.9990591521
1.8946097340,1.0654140113,0.0848332364,1.0390021168,1.9823270266,-1.0422713193,0.9990526951
1.9075236073,1.0649148705,0.0860004485,1.0401756353,1.9955103942,-1.0449130875,0.9990462382
1.9204374806,1.0644018381,0.0871646037,1.0413645640,2.0086712198,-1.0475520486,0.9990397813
1.9333513539,1.0638750376,0.0883254952,1.0425688273,2.0218091770,-1.0501881738,0.9990333243
1.9466254098,1.0633193271,0.0895151481,1.0438225778,2.0352893948,-1.0528948374,0.9990266873
1.9598994656,1.0627493428,0.0907009165,1.0450923575,2.0487447679,-1.0555984429,0.9990200503
1.9731735215,1.0621652272,0.0918825831,1.0463780736,2.0621749592,-1.0582989589,0.9990134132
1.9864475773,1.0615671256,0.0930599336,1.0476796300,2.0755796371,-1.0609963540,0.9990067762
2.0001214270,1.0609365420,0.0942680075,1.0490368452,2.0893610218,-1.0637716941,0.9989999393
2.0137952766,1.0602914388,0.0954710486,1.0504106511,2.1031146390,-1.0665436550,0.9989931024
2.0274691262,1.0596319829,0.0966688318,1.0518009317,2.1168401468,-1.0693122024,0.9989862654
2.0411429758,1.0589583441,0.0978611352,1.0532075671,2.1305372102,-1.0720773020,0.9989794285
2.0552655563,1.0582478928,0.0990865817,1.0546774019,2.1446535586,-1.0749294874,0.9989723672
2.0693881367,1.0575226885,0.1003057127,1.0561644117,2.1587388624,-1.0777779208,0.9989653059
2.0835107172,1.0567829263,0.1015182948,1.0576684534,2.1727927764,-1.0806225644,0.9989582446
2.0976332976,1.0560288034,0.1027240984,1.0591893799,2.1868149642,-1.0834633805,0.9989511834
2.1122664220,1.0552324825,0.1039661015,1.0607829399,2.2013102487,-1.0864028166,0.9989438668
2.1268995465,1.0544211828,0.1052003384,1.0623942946,2.2157707634,-1.0893380610,0.9989365502
2.1415326709,1.0535951309,0.1064265666,1.0640232684,2.2301961621,-1.0922690716,0.9989292337
2.1561657953,1.0527545558,0.1076445487,1.0656696822,2.2445861085,-1.0951958063,0.9989219171
2.1713898595,1.0518648689,0.1089027143,1.0674008982,2.2595191943,-1.0982361500,0.9989143051
2.1866139237,1.0509599744,0.1101514447,1.0691505831,2.2744131966,-1.1012717727,0.9989066930
2.2018379879,1.0500401365,0.1113904879,1.0709185228,2.2892677704,-1.1043026273,0.9988990810
2.2170620521,1.0491056212,0.1126195973,1.0727044991,2.3040825823,-1.1073286665,0.9988914690
2.2329858148,1.0481127414,0.1138943057,1.0745916173,2.3195353885,-1.1104885786,0.9988835071
2.2489095775,1.0471044048,0.1151576129,1.0764979672,2.3349439867,-1.1136431166,0.9988755452
2.2648333402,1.0460809209,0.1164092555,1.0784232867,2.3503080355,-1.1167922263,0.9988675833
2.2807571029,1.0450426001,0.1176489770,1.0803673094,2.3656272075,-1.1199358537,0.9988596214
2.2975359212,1.0439328151,0.1189420933,1.0824356590,2.3817200690,-1.1232422924,0.9988512320
2.3143147396,1.0428072693,0.1202214109,1.0845241538,2.3977624058,-1.1265425209,0.9988428426
2.3310935579,1.0416663293,0.1214866524,1.0866324689,2.4137538837,-1.1298364757,0.9988344532
2.3478723762,1.0405103621,0.1227375486,1.0887602755,2.4296941853,-1.1331240935,0.9988260638
